,index,city_name,lon,lat,date,temperature,feels_like,wind,city,name,url,score,description,gps
10,10,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,L'Hirondelle,https://www.booking.com/hotel/fr/l-39-hirondelle-pontorson.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,8.9,Managed by a private host,"48.61579500,-1.48871200"
11,11,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,La Jacotière,https://www.booking.com/hotel/fr/la-jacotia-re.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,9.3,"Situated in Ardevon, La Jacotière is a B&B set in a renovated farm with a garden and a furnished terrace offering views of the Mont Saint-Michel, just 3 km away. Free Wi-Fi is provided. ","48.61411436,-1.50431424"
12,12,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.0,"Set amid lush greenery, just 2 km from the Mont Saint-Michel, the hotel welcomes you in a warm and friendly atmosphere. ","48.61293783,-1.51010513"
13,13,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.9,Hotel Gabriel is located 1.6 Km from Mont Saint-Michel. It offers free Wi-Fi access and en suite rooms just a 25-minute walk from the walls of the old city. ,"48.61538141,-1.51070997"
14,14,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.6,"Situated in the heart of Mont Saint Michel medieval Village, Hôtel La Croix Blanche offers a terrace and a bar. The rooms at Hôtel La Croix Blanche have a flat-screen, satellite TV and a minibar. ","48.63573406,-1.50986105"
15,15,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.9,Auberge Saint Pierre is a 14th-century half-timbered house located on Mont St Michel tidal island. It combines the period charm of exposed beams with modern comforts including TV and free Wi-Fi...,"48.63568798,-1.50988251"
16,16,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.9,"Le Relais Du Roy is a 3-star hotel situated next to the River Couesnon, just 1.5 km from the Mont Saint-Michel and 50 metres from the free shuttle bus. ","48.61626270,-1.51090577"
17,17,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,La Vieille Auberge,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.1,"La Vieille Auberge is located in the medieval village of Le Mont Saint Michel, just a short walk from the famous Mont Saint-Michel Abbey. ","48.63606300,-1.51145700"
18,18,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.3,"Composed of 2 different buildings, Les Terrasses Poulard is a historical property in the heart of Mont Saint-Michel and offers views of the bay, the village and the street. ","48.63534943,-1.51037872"
19,19,"Mont Saint-Michel, Terrasse de l'Abside, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,2023-02-13 06:00:00,26.46,26.46,4.89,mont saint michel,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4AvT8i50GwAIB0gIkZTU4MzUzNzEtOTg5YS00YjMxLWFmMzMtODI3OTdhMWJlYjhh2AIG4AIB&sid=1449f56c2ce827c6db3a5c751b61e5c2&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5d4058fa52460283&srepoch=1671626359&from=searchresults#hotelTmpl,7.1,"The traditional Hotel De La Digue in the Basse-Normandie region is only 5 minutes by shuttle from Mont St Michel, or 30 minutes by foot. Free Wi-Fi is provided throughout the property. ","48.61688155,-1.51091784"
